ts,time,TAC,blocked,cutoff,volte,msg,tot
1018065,10/18/18 06:50,28683,0,0,2603,166,24314
1018065,10/18/18 06:50,28684,0,0,689,22,49659
1018065,10/18/18 06:50,28685,0,0,1504,21,53673
1018065,10/18/18 06:50,28688,0,11,1271,230,38620
1018065,10/18/18 06:50,29449,0,0,271,0,8855
1018065,10/18/18 06:50,29465,0,0,116,0,5041
1018070,10/18/18 07:00,27214,0,0,237,30,9783
1018070,10/18/18 07:00,28672,0,0,24,0,696
1018070,10/18/18 07:00,28681,0,24,750,60,30086
1018070,10/18/18 07:00,28682,0,12,2453,139,60556
1018070,10/18/18 07:00,28683,0,26,2618,24,29599
1018070,10/18/18 07:00,28684,0,0,1166,32,66407
1018070,10/18/18 07:00,28685,0,12,1366,81,69706
1018070,10/18/18 07:00,28688,6,0,1308,77,45636
1018070,10/18/18 07:00,29449,0,30,218,54,10617
1018070,10/18/18 07:00,29465,0,0,107,0,5343
1018071,10/18/18 07:10,27214,0,18,471,78,9849
1018071,10/18/18 07:10,28672,0,0,0,0,474
1018071,10/18/18 07:10,28681,0,8,677,61,28185
1018071,10/18/18 07:10,28682,66,12,2403,85,53571
1018071,10/18/18 07:10,28683,0,14,2709,132,27051
1018071,10/18/18 07:10,28684,0,0,936,14,51889
1018071,10/18/18 07:10,28685,0,0,1379,0,56567
1018071,10/18/18 07:10,28688,6,0,1573,73,42794
1018071,10/18/18 07:10,29449,0,8,167,9,9424
1018071,10/18/18 07:10,29465,0,0,109,0,4688
1018072,10/18/18 07:20,27214,0,0,291,24,9210
1018072,10/18/18 07:20,28672,0,6,24,6,408
1018072,10/18/18 07:20,28681,0,0,997,30,25492
1018072,10/18/18 07:20,28682,12,12,2125,71,52621
1018072,10/18/18 07:20,28683,12,0,1968,12,23053
1018072,10/18/18 07:20,28684,0,0,852,35,49574
1018072,10/18/18 07:20,28685,0,0,1124,63,54254
1018072,10/18/18 07:20,28688,0,0,1305,42,42520
1018072,10/18/18 07:20,29449,0,18,133,0,8654
1018072,10/18/18 07:20,29465,0,0,46,0,5092
1018073,10/18/18 07:30,27214,0,0,108,54,8421
1018073,10/18/18 07:30,28672,0,0,6,0,636
1018073,10/18/18 07:30,28681,0,0,835,104,27988
1018073,10/18/18 07:30,28682,0,37,2018,137,53050
1018073,10/18/18 07:30,28683,0,0,1804,36,24340
1018073,10/18/18 07:30,28684,0,0,800,60,49823
1018073,10/18/18 07:30,28685,0,0,1322,73,54342
1018073,10/18/18 07:30,28688,6,0,1767,289,41519
1018073,10/18/18 07:30,29449,6,0,181,0,9243
1018073,10/18/18 07:30,29465,0,0,62,0,4921
1018074,10/18/18 07:40,27214,0,18,306,27,8943
1018074,10/18/18 07:40,28672,0,0,6,0,570
1018074,10/18/18 07:40,28681,0,0,596,83,27811
1018074,10/18/18 07:40,28682,0,6,1655,180,52812
1018074,10/18/18 07:40,28683,0,0,1160,40,24169
1018074,10/18/18 07:40,28684,0,0,599,60,52070
1018074,10/18/18 07:40,28685,9,0,1029,68,54831
1018074,10/18/18 07:40,28688,0,0,1474,239,42167
1018074,10/18/18 07:40,29449,8,0,187,15,9286
1018074,10/18/18 07:40,29465,0,0,78,0,4950
1018075,10/18/18 07:50,27214,0,0,120,51,8520
1018075,10/18/18 07:50,28672,0,0,6,0,624
1018075,10/18/18 07:50,28681,0,0,411,38,25155
1018075,10/18/18 07:50,28682,0,0,1735,68,52943
1018075,10/18/18 07:50,28683,0,0,1118,44,23732
1018075,10/18/18 07:50,28684,0,0,627,0,50076
1018075,10/18/18 07:50,28685,0,0,1543,69,55681
1018075,10/18/18 07:50,28688,0,0,2181,66,42368
1018075,10/18/18 07:50,29449,0,0,168,0,9813
1018075,10/18/18 07:50,29465,0,0,41,0,4501
1018080,10/18/18 08:00,27214,0,0,72,126,9510
